Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(783600k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
1.119: [GC (Allocation Failure) 1.119: [DefNew: 448K->63K(448K), 0.0014123 secs] 39827K->39817K(1048512K), 0.0014744 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.128: [GC (Allocation Failure) 1.128: [DefNew: 447K->63K(448K), 0.0014108 secs] 40201K->40190K(1048512K), 0.0014701 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.139: [GC (Allocation Failure) 1.139: [DefNew: 447K->63K(448K), 0.0010875 secs] 40574K->40564K(1048512K), 0.0011285 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.148: [GC (Allocation Failure) 1.148: [DefNew: 447K->64K(448K), 0.0012346 secs] 40948K->40937K(1048512K), 0.0012895 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.159: [GC (Allocation Failure) 1.159: [DefNew: 448K->63K(448K), 0.0012629 secs] 41321K->41311K(1048512K), 0.0013029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.167: [GC (Allocation Failure) 1.167: [DefNew: 447K->63K(448K), 0.0014495 secs] 41695K->41682K(1048512K), 0.0014941 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.177: [GC (Allocation Failure) 1.177: [DefNew: 447K->64K(448K), 0.0012770 secs] 42066K->42058K(1048512K), 0.0013572 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.187: [GC (Allocation Failure) 1.187: [DefNew: 448K->63K(448K), 0.0012714 secs] 42442K->42433K(1048512K), 0.0013255 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.197: [GC (Allocation Failure) 1.197: [DefNew: 447K->63K(448K), 0.0012999 secs] 42816K->42806K(1048512K), 0.0013655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.207: [GC (Allocation Failure) 1.207: [DefNew: 447K->63K(448K), 0.0012820 secs] 43190K->43179K(1048512K), 0.0013346 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
